IDText,text
TXT001,"Terima kasih mahasiswa perwakilan dari Indonesia timur pada umumnya, semoga diskusi ini bisa membawa banyak perubahan yg terjadi di Indonesia timur pada tahun yg akan datang."
TXT002,Kalo omdo udah deh males
TXT003,Saya setuju ni sama bapak
TXT004,wah
TXT005,Setuju pake banget. teori perbanyak peraktek.
TXT006,"Politeknik gimana, pemerataan dong pak\\n"
TXT007,semangat kuliah jadinya
TXT008,Mungkin jurusan sekretaris nanti jg bakalan laris jd tujuan lintas jurusan wkwkwk
TXT009,Luar biasa ..... tajam n terarah
TXT010,makanya program ini bisa sebagai alternatif jikalau cita2 anda tidak terkabulkan (kecuali kalo anda bersikeras)
TXT011,"MAJU TERUS DOSEN MILENIAL DALAM MENDONGKRAK PERSAINGAN GLOBAL , BERKOLABORASILAH DENGAN SENIOR, n RANGKUL LAH PARA MAHASISWA LAYAKNYA MENDORONG ANAK UNTUK MAJU😘"
TXT012,Menteri WACANA kaya bosnya. Omdo mas
TXT013,Majukan kesejahteraan umum n mencerdaskan kehidupan Bangsa. Setiap warga Negara berhak mendapatkan pendidikan yg merata  n juga mendapat jaminan kepada Negara.
TXT014,"mantap pak menteri pendidikan 👍,😎🙏,-"
TXT015,aduh sepertinya sulit ya\\n\\n
TXT016,Inovasi n Kreativitas Harusnya Menjadi Tuntutan Utama Pendidikan Zaman sekarang! bukan fokus ke magang atau apalah itu
TXT017,Kalo opsional bagus
TXT018,"Mencerahkan, mencerdaskan, brilian......."
TXT019,Ga ngerti pak\\n
TXT020,keren parah
TXT021,Saya setuju magang dikembalikan seperti dulu yaitu 3 bulan setidaknya.. Malah merepotkan sekolah yg menerima mrk.. juga membingungkan siswa.. ga efektif..
TXT022,"ga masuk akal, magang dimana dah? susah tau cari tempat magang tuh"
TXT023,aduh
TXT024,"karena selama ini mahasiswa seneng magang/ praktek karena cari senengnya/ santainya aja, tidak jelas dia magang cari apa, keahlian yg ingin dicapai apa, "
TXT025,oke saya setuju
TXT026,"Doa para orang tua mahasiswa, semoga para orang tua di perguruan tinggi memahami arti sebuah perubahan guna menjawab tantangan anak² kita di luar sana. Keluarlah dari jeratan zona nyaman. Semoga"
TXT027,"ragu pak, banyak korupsi"
TXT028,aduh pak makin lama lulusnya
TXT029,masih ada tantangan tentang bagaimana kebijakan ini bisa teraplikasikan di seluruh indonesia atau cuman di tempat tempat tertentu👏👏👏
TXT030,"bagus, keren banget. ditunggu kabar selanjutnya pak"
TXT031,Ane dulu waktu SMK magang 1 semester n alhamdulillah perbulan dpt uang transport dari tmpt magang.. :)
TXT032,Kampusnya banyak lapangan kerjanya dikit.... Memang lucu negeriku
TXT033,Cerdas... Mas nadiem menguasai semua permasalahan pendidikan di Indonesia disemua lini n beliau memiliki solusi cerdas tingkat internasional... Mendobrak sistem lama yg kuno dengan perubahan zaman saat ini yg begitu cepat...
TXT034,Luar biasa ..... tajam n terarah
TXT035,ikut
TXT036,jangan omdo ya pak tolong
TXT037,kalo ga digaji ga mu\\n
TXT038,"jangan dipersulit pak, kuliah aja udah mumet"
TXT039,Kalo proses antrian akreditasi sering melampaui batas wsaktu.. akreditasi BAN saya pertanyakan..
TXT040,"kampus belum siap, hasilnya akan nol. percuma"
TXT041,Bagus. Salah satu pendekatan antropologi dikenal dengan STRATEGI ADAPTASI.\\n
TXT042,"tidak semua prodi bisa magang pak, tolong dong kebijakannya dikritisi lagi"
TXT043,Jangan. Magang 1 semester aja sudah membosankan apalagi 3 semester. Mending kerja aja ga usah magang
TXT044,Boleh. sangat setuju
TXT045,"KITA mendukung generasi mudanya INDONESIA, menjadi lebih baik n benar kedepannya, majulah terus KITA akan bahagia -😎😆sebagai SDM yg kwalitas tinggi 🙏👍,-"
TXT046,"bagus ya cahaya baru untuk bangsaku, semangat mas nadiem"
TXT047,Sangat setuju pak mentri\\n
TXT048,"wah keren, akan luar biasa"
TXT049,wah mantap pak nadiem
TXT050,"Program yg sangat bagus, "
TXT051,pusing deh gua hahaha makin ribet aja aturan
TXT052,Tolong sudah diperhitungkan dari akar rumput sehingga tidak menjadi program sesaat yg kemudian direvisi atau malah ga jadi
TXT053,"Setuju, tp tolong juga diperhatikan hak-hak mahasiswa sebagai manusia, apresiasi dr perusahaan n kampus hrs berimbang."
TXT054,"luar biasa bang nadiem, bisa banget bikin kagum"
TXT055,"terimakasih mas nadiem, kebijakan ini semoga bisa mengubah mahasiswa indonesia jadi lebih bebas"
TXT056,Kalo omdo udah deh males
TXT057,stuju pake bgt sudah seharusnyaa indonesia mencetak sarjana yg sesungguhnya  kita kejar negara&; maju  mari kita tunjukan INDONESIA di mata DUNIA
TXT058,sukseskan kampus merdeka
