IDText,teks,sentimen
TXT001,"Terima kasih mahasiswa perwakilan dari Indonesia timur pada umumnya, semoga diskusi ini bisa membawa banyak perubahan yg terjadi di Indonesia timur pada tahun yg akan datang.",positif
TXT002,Kalo omdo udah deh males,negatif
TXT003,Saya setuju ni sama bapak,positif
TXT004,wah,positif
TXT005,Setuju pake banget. teori perbanyak peraktek.,positif
TXT006,"Politeknik gimana, pemerataan dong pak\\n",negatif
TXT007,semangat kuliah jadinya,positif
TXT008,Mungkin jurusan sekretaris nanti jg bakalan laris jd tujuan lintas jurusan wkwkwk,positif
TXT009,Luar biasa ..... tajam n terarah,positif
TXT010,makanya program ini bisa sebagai alternatif jikalau cita2 anda tidak terkabulkan (kecuali kalo anda bersikeras),negatif
TXT011,"MAJU TERUS DOSEN MILENIAL DALAM MENDONGKRAK PERSAINGAN GLOBAL , BERKOLABORASILAH DENGAN SENIOR, n RANGKUL LAH PARA MAHASISWA LAYAKNYA MENDORONG ANAK UNTUK MAJU😘",positif
TXT012,Menteri WACANA kaya bosnya. Omdo mas,negatif
TXT013,Majukan kesejahteraan umum n mencerdaskan kehidupan Bangsa. Setiap warga Negara berhak mendapatkan pendidikan yg merata  n juga mendapat jaminan kepada Negara.,positif
TXT014,"mantap pak menteri pendidikan 👍,😎🙏,-",positif
TXT015,aduh sepertinya sulit ya\\n\\n,negatif
TXT016,Inovasi n Kreativitas Harusnya Menjadi Tuntutan Utama Pendidikan Zaman sekarang! bukan fokus ke magang atau apalah itu,negatif
TXT017,Kalo opsional bagus,positif
TXT018,"Mencerahkan, mencerdaskan, brilian.......",positif
TXT019,Ga ngerti pak\\n,negatif
TXT020,keren parah,positif
TXT021,Saya setuju magang dikembalikan seperti dulu yaitu 3 bulan setidaknya.. Malah merepotkan sekolah yg menerima mrk.. juga membingungkan siswa.. ga efektif..,positif
TXT022,"ga masuk akal, magang dimana dah? susah tau cari tempat magang tuh",negatif
TXT023,aduh,negatif
TXT024,"karena selama ini mahasiswa seneng magang/ praktek karena cari senengnya/ santainya aja, tidak jelas dia magang cari apa, keahlian yg ingin dicapai apa, ",negatif
TXT025,oke saya setuju,positif
TXT026,"Doa para orang tua mahasiswa, semoga para orang tua di perguruan tinggi memahami arti sebuah perubahan guna menjawab tantangan anak² kita di luar sana. Keluarlah dari jeratan zona nyaman. Semoga",positif
TXT027,"ragu pak, banyak korupsi",negatif
TXT028,aduh pak makin lama lulusnya,negatif
TXT029,masih ada tantangan tentang bagaimana kebijakan ini bisa teraplikasikan di seluruh indonesia atau cuman di tempat tempat tertentu👏👏👏,negatif
TXT030,"bagus, keren banget. ditunggu kabar selanjutnya pak",positif
TXT031,Ane dulu waktu SMK magang 1 semester n alhamdulillah perbulan dpt uang transport dari tmpt magang.. :),positif
TXT032,Kampusnya banyak lapangan kerjanya dikit.... Memang lucu negeriku,negatif
TXT033,Cerdas... Mas nadiem menguasai semua permasalahan pendidikan di Indonesia disemua lini n beliau memiliki solusi cerdas tingkat internasional... Mendobrak sistem lama yg kuno dengan perubahan zaman saat ini yg begitu cepat...,positif
TXT034,Luar biasa ..... tajam n terarah,positif
TXT035,ikut,positif
TXT036,jangan omdo ya pak tolong,negatif
TXT037,kalo ga digaji ga mu\\n,negatif
TXT038,"jangan dipersulit pak, kuliah aja udah mumet",negatif
TXT039,Kalo proses antrian akreditasi sering melampaui batas wsaktu.. akreditasi BAN saya pertanyakan..,negatif
TXT040,"kampus belum siap, hasilnya akan nol. percuma",negatif
TXT041,Bagus. Salah satu pendekatan antropologi dikenal dengan STRATEGI ADAPTASI.\\n,positif
TXT042,"tidak semua prodi bisa magang pak, tolong dong kebijakannya dikritisi lagi",negatif
TXT043,Jangan. Magang 1 semester aja sudah membosankan apalagi 3 semester. Mending kerja aja ga usah magang,negatif
TXT044,Boleh. sangat setuju,positif
TXT045,"KITA mendukung generasi mudanya INDONESIA, menjadi lebih baik n benar kedepannya, majulah terus KITA akan bahagia -😎😆sebagai SDM yg kwalitas tinggi 🙏👍,-",positif
TXT046,"bagus ya cahaya baru untuk bangsaku, semangat mas nadiem",positif
TXT047,Sangat setuju pak mentri\\n,positif
TXT048,"wah keren, akan luar biasa",positif
TXT049,wah mantap pak nadiem,positif
TXT050,"Program yg sangat bagus, ",positif
TXT051,pusing deh gua hahaha makin ribet aja aturan,negatif
TXT052,Tolong sudah diperhitungkan dari akar rumput sehingga tidak menjadi program sesaat yg kemudian direvisi atau malah ga jadi,negatif
TXT053,"Setuju, tp tolong juga diperhatikan hak-hak mahasiswa sebagai manusia, apresiasi dr perusahaan n kampus hrs berimbang.",positif
TXT054,"luar biasa bang nadiem, bisa banget bikin kagum",positif
TXT055,"terimakasih mas nadiem, kebijakan ini semoga bisa mengubah mahasiswa indonesia jadi lebih bebas",positif
TXT056,Kalo omdo udah deh males,negatif
TXT057,stuju pake bgt sudah seharusnyaa indonesia mencetak sarjana yg sesungguhnya  kita kejar negara&; maju  mari kita tunjukan INDONESIA di mata DUNIA,positif
TXT058,sukseskan kampus merdeka,positif
TXT059,"Ini intinya industri di Indonesia sudah siap belum buat menerima mahasiswa magang. kalau seperti jepang, eropa, n us ok lah kalau Indonesia saya gak yakin",negatif
TXT060,"Konsep pendidikan ala makarim itu adalah konsep khusus utk satu kepentingan, tdk menyeluruh kepada kebutuhan",negatif
TXT061,selalu cerdas,positif
TXT062,"Ini baru model pendidikan yg inovatif, Semangat berinovasi bung Nadim... Salam Satu Jiwa dari bumi Kampus Merdeka...",positif
TXT063,setuju sih pak,positif
TXT064,kapan diterapkan? trus mahasiswa yg sudah semester atas apa diberlakukan jg? jujur pengen ngerasain kebijakan ini :v,positif
TXT065,"kampus belum siap, hasilnya akan nol. percuma",negatif
TXT066,"Klo negara mau, harusnya pendidikan ditegakkan dari wilayah terluar indonesia.. n alangkah bijaknya pak mentri meninjau wilayah2 terjauh indonesia agar tdk tertinggal...",negatif
TXT067,"budak korporat, selamat datang",negatif
TXT068,"keren mas menteri, saya sangat mendukung n semoga semunya juga mendukung menuju Indonesia Maju.",positif
TXT069,Efisien  Efektif professional (piawai )di bidangnya masing masing 😎😆😀🙏👍,positif
TXT070,"hanya akan jadi wacana. pak mentri tolong kurangi omdo begini, bikin resah",negatif
TXT071,"Ntaps nambah ilmu n pengatahuan , makasi mas kemendikbud",positif
TXT072,"omdo lagi omdo lagi, lucunya negeriku wkwk",negatif
TXT073,Iya nasib nih apalagi yg kuliahnya gak ad magangnya kyk gw :(,negatif
TXT074,"kurang setuju, yakin akan terealisasi?",negatif
TXT075,Biar pernah kerja di dunia nyata\\n,positif
TXT076,"keren, sangat setuju, saya dosen .... sangat mendukung.... minta bimbingan nya pak mentri",positif
TXT077,Benar pak,positif
TXT078,Kuliah mahal bangke,negatif
TXT079,semangat semoga terlaksana,positif
TXT080,Mas Mentri.. memang orang cerdas.. dunia pendidikan indonesia sangat butuh inovasi!!!  sudah waktunya Indonesia Berubah..,positif
TXT081,memang gitu bro jdi mohon doa nya semoga terealisasi,positif
TXT082,sukseskan kampus merdeka,positif
TXT083,serius ini keren,positif
TXT084,Hancur dunia pendidikan,negatif
TXT085,"Keren, biar mereka ngerti dunia kerja tu kyk gimana, b",positif
TXT086,"kampus belum siap, hasilnya akan nol. percuma",negatif
TXT087,Keren programnya.Sukses selalu pak Nadiem.,positif
TXT088,"Satu kata... keren, lanjutkan",positif
